parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,bracken_classified_reads,nt_rpm
909656,1,bacteria,821,Phocaeicola vulgatus,13490,15136,15136
909656,1,bacteria,357276,Phocaeicola dorei,1831,2047,2047
909656,1,bacteria,376805,Phocaeicola salanitronis,1,1,1
909656,1,bacteria,387090,Phocaeicola coprophilus,1,1,1
816,1,bacteria,329854,Bacteroides intestinalis,3362,3443,3443
816,1,bacteria,28119,Bacteroides zoogleoformans,1418,1486,1486
816,1,bacteria,818,Bacteroides thetaiotaomicron,767,815,815
816,1,bacteria,246787,Bacteroides cellulosilyticus,661,776,776
816,1,bacteria,820,Bacteroides uniformis,343,432,432
816,1,bacteria,817,Bacteroides fragilis,288,334,334
816,1,bacteria,28113,Bacteroides heparinolyticus,266,277,277
816,1,bacteria,47678,Bacteroides caccae,266,310,310
816,1,bacteria,28116,Bacteroides ovatus,233,377,377
2646097,1,bacteria,2763022,Bacteroides sp. M10,3,3,3
2646097,1,bacteria,556259,Bacteroides sp. D2,2,2,2
2646097,1,bacteria,2847299,Bacteroides sp. DH3716P,2,7,7
2646097,1,bacteria,2528203,Bacteroides sp. A1C1,1,2,2
2646097,1,bacteria,2755405,Bacteroides sp. CACC 737,1,2,2
2646097,1,bacteria,2785531,Bacteroides sp. HF-162,1,3,3
2646097,1,bacteria,2972761,Bacteroides sp. BFG-257,1,17,17
816,1,bacteria,674529,Bacteroides faecis,4,4,4
816,1,bacteria,371601,Bacteroides xylanisolvens,4,6,6
816,1,bacteria,1796613,Bacteroides caecimuris,3,3,3
816,1,bacteria,291645,Bacteroides nordii,2,2,2
816,1,bacteria,291644,Bacteroides salyersiae,2,2,2
139043,1,bacteria,162156,uncultured Bacteroides sp.,2,2,2
816,1,bacteria,2650157,Bacteroides zhangwenhongii,1,1,1
816,1,bacteria,2792859,Bacteroides humanifaecis,1,3,3
838,1,bacteria,28131,Prevotella intermedia,3562,3696,3696
838,1,bacteria,28129,Prevotella denticola,3539,3670,3670
838,1,bacteria,28132,Prevotella melaninogenica,3,3,3
838,1,bacteria,28133,Prevotella nigrescens,2,2,2
838,1,bacteria,28128,Prevotella corporis,1,1,1
838,1,bacteria,1177574,Prevotella jejuni,1,1,1
2884814,1,bacteria,2133944,Pseudoprevotella muciniphila,2411,2413,2413
2974257,1,bacteria,76123,Hoylesella enoeca,1083,1129,1129
2974257,1,bacteria,28127,Hoylesella buccalis,3,3,3
2974251,1,bacteria,2518605,Segatella hominis,1,1,1
2815786,1,bacteria,2606626,Sodaliphilus pleomorphus,829,835,835
2649562,1,bacteria,2576606,Duncaniella sp. B8,8,321,321
2649562,1,bacteria,2530392,Duncaniella sp. C9,1,22,22
1918540,1,bacteria,1796646,Muribaculum intestinale,171,174,174
239759,1,bacteria,2585118,Alistipes communis,1022,1044,1044
836,1,bacteria,837,Porphyromonas gingivalis,898,932,932
195950,1,bacteria,712710,Tannerella serpentiformis,639,639,639
375288,1,bacteria,823,Parabacteroides distasonis,2,6,6
375288,1,bacteria,387661,Parabacteroides johnsonii,2,2,2
397864,1,bacteria,397865,Barnesiella viscericola,1,1,1
1016,1,bacteria,327575,Capnocytophaga leadbetteri,4776,4919,4919
1016,1,bacteria,1019,Capnocytophaga sputigena,4272,4326,4326
2640652,1,bacteria,1705617,Capnocytophaga sp. oral taxon 323,1051,1321,1321
2640652,1,bacteria,1316596,Capnocytophaga sp. oral taxon 878,517,523,523
2640652,1,bacteria,1316593,Capnocytophaga sp. oral taxon 864,221,273,273
2640652,1,bacteria,2545799,Capnocytophaga sp. FDAARGOS_737,206,212,212
2640652,1,bacteria,2748316,Capnocytophaga sp. oral taxon 902,3,4,4
1016,1,bacteria,45243,Capnocytophaga haemolytica,1158,1162,1162
1016,1,bacteria,1017,Capnocytophaga gingivalis,714,716,716
1016,1,bacteria,28188,Capnocytophaga canimorsus,279,281,281
1016,1,bacteria,2708117,Capnocytophaga endodontalis,262,269,269
1016,1,bacteria,1018,Capnocytophaga ochracea,23,26,26
1016,1,bacteria,1848904,Capnocytophaga stomatis,2,2,2
1016,1,bacteria,28189,Capnocytophaga cynodegmi,1,1,1
59735,1,bacteria,1585976,Bergeyella cardium,1319,1321,1321
34084,1,bacteria,34085,Riemerella anatipestifer,883,889,889
59734,1,bacteria,343874,Empedobacter falsenii,1,1,1
1301,1,bacteria,1335,Streptococcus equinus,9033,9546,9546
2608887,1,bacteria,2598453,Streptococcus sp. 116-D4,1576,1628,1628
2608887,1,bacteria,712633,Streptococcus sp. oral taxon 431,1147,1193,1193
2608887,1,bacteria,2610896,Streptococcus sp. LPB0220,970,1101,1101
2608887,1,bacteria,1839799,Streptococcus sp. FDAARGOS_192,158,217,217
2608887,1,bacteria,2763068,Streptococcus sp. NSJ-72,3,5,5
2608887,1,bacteria,2420310,Streptococcus sp. FDAARGOS_522,3,40,40
2608887,1,bacteria,1759399,Streptococcus sp. A12,2,2,2
2608887,1,bacteria,3098075,Streptococcus sp. S1,2,2,2
2608887,1,bacteria,3098076,Streptococcus sp. S5,1,1,1
2608887,1,bacteria,2598457,Streptococcus sp. KS 6,1,1,1
2608887,1,bacteria,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,1,1,1
2608887,1,bacteria,712624,Streptococcus sp. oral taxon 064,1,1,1
1301,1,bacteria,1307,Streptococcus suis,2373,2486,2486
1301,1,bacteria,1305,Streptococcus sanguinis,834,861,861
1301,1,bacteria,1433513,Streptococcus gwangjuense,660,711,711
671232,1,bacteria,1328,Streptococcus anginosus,463,533,533
671232,1,bacteria,1338,Streptococcus intermedius,126,135,135
671232,1,bacteria,76860,Streptococcus constellatus,2,2,2
1301,1,bacteria,1308,Streptococcus thermophilus,581,592,592
1301,1,bacteria,2382163,Streptococcus koreensis,556,696,696
1301,1,bacteria,45634,Streptococcus cristatus,479,486,486
1301,1,bacteria,1313,Streptococcus pneumoniae,445,507,507
1301,1,bacteria,28037,Streptococcus mitis,381,403,403
1301,1,bacteria,1302,Streptococcus gordonii,360,364,364
1301,1,bacteria,1311,Streptococcus agalactiae,309,767,767
1301,1,bacteria,1303,Streptococcus oralis,226,243,243
1301,1,bacteria,1304,Streptococcus salivarius,196,231,231
1301,1,bacteria,1314,Streptococcus pyogenes,8,8,8
119603,1,bacteria,1336,Streptococcus equi,6,6,6
119603,1,bacteria,1334,Streptococcus dysgalactiae,1,2,2
1301,1,bacteria,1318,Streptococcus parasanguinis,6,6,6
1301,1,bacteria,2686210,Streptococcus ruminicola,5,6,6
1301,1,bacteria,150055,Streptococcus lutetiensis,3,3,3
1301,1,bacteria,113107,Streptococcus australis,3,3,3
1301,1,bacteria,1156431,Streptococcus ilei,3,3,3
1301,1,bacteria,1234680,Streptococcus rubneri,3,3,3
1301,1,bacteria,400065,Streptococcus merionis,2,2,2
1301,1,bacteria,1343,Streptococcus vestibularis,2,2,2
1301,1,bacteria,315405,Streptococcus gallolyticus,2,2,2
1301,1,bacteria,102684,Streptococcus infantarius,2,2,2
1301,1,bacteria,149016,Streptococcus urinalis,2,2,2
1301,1,bacteria,684066,Streptococcus lactarius,1,1,1
1301,1,bacteria,361101,Streptococcus pseudoporcinus,1,1,1
1301,1,bacteria,257758,Streptococcus pseudopneumoniae,1,1,1
1301,1,bacteria,254785,Streptococcus halichoeri,1,1,1
1301,1,bacteria,102886,Streptococcus didelphis,1,1,1
1301,1,bacteria,1501662,Streptococcus parasuis,1,1,1
1301,1,bacteria,1811193,Streptococcus pantholopis,1,1,1
1301,1,bacteria,2490633,Streptococcus periodonticum,1,1,1
1301,1,bacteria,68892,Streptococcus infantis,1,1,1
1301,1,bacteria,33040,Streptococcus milleri,1,1,1
1301,1,bacteria,29389,Streptococcus alactolyticus,1,1,1
1301,1,bacteria,1349,Streptococcus uberis,1,1,1
1301,1,bacteria,1329,Streptococcus canis,1,1,1
1301,1,bacteria,1341,Streptococcus ratti,1,1,1
1357,1,bacteria,1366,Lactococcus raffinolactis,1,1,1
1350,1,bacteria,1352,Enterococcus faecium,2,3,3
1350,1,bacteria,1351,Enterococcus faecalis,2,3,3
46123,1,bacteria,46125,Abiotrophia defectiva,1,1,1
89092,1,bacteria,89093,Ignavigranum ruoffiae,1,1,1
2767887,1,bacteria,1623,Ligilactobacillus ruminis,1,1,1
1378,1,bacteria,1379,Gemella haemolysans,4293,4313,4313
1378,1,bacteria,29391,Gemella morbillorum,1839,1868,1868
1378,1,bacteria,84135,Gemella sanguinis,570,573,573
86661,1,bacteria,1428,Bacillus thuringiensis,631,2219,2219
86661,1,bacteria,1396,Bacillus cereus,149,503,503
86661,1,bacteria,1405,Bacillus mycoides,28,38,38
86661,1,bacteria,64104,Bacillus pseudomycoides,12,12,12
86661,1,bacteria,2026191,Bacillus luti,12,12,12
86661,1,bacteria,1890302,Bacillus wiedmannii,12,16,16
86661,1,bacteria,1392,Bacillus anthracis,10,693,693
86661,1,bacteria,155322,Bacillus toyonensis,8,13,13
86661,1,bacteria,2026193,Bacillus nitratireducens,8,9,9
86661,1,bacteria,2026187,Bacillus pacificus,6,9,9
86661,1,bacteria,2026188,Bacillus tropicus,6,12,12
86661,1,bacteria,2026186,Bacillus paranthracis,4,11,11
86661,1,bacteria,580165,Bacillus cytotoxicus,4,4,4
86661,1,bacteria,2026194,Bacillus paramycoides,3,3,3
2750818,1,bacteria,2217832,Bacillus sp. JAS24-2,1,4,4
86661,1,bacteria,2026189,Bacillus albus,1,3,3
86661,1,bacteria,658666,Bacillus bombysepticus,1,4,4
86661,1,bacteria,2817477,Bacillus paramobilis,1,1,1
1938374,1,bacteria,492670,Bacillus velezensis,28,145,145
1938374,1,bacteria,1390,Bacillus amyloliquefaciens,5,15,15
1938374,1,bacteria,659243,Bacillus siamensis,1,1,1
653685,1,bacteria,72361,Bacillus vallismortis,1,1,1
653685,1,bacteria,483913,Bacillus inaquosorum,1,1,1
185979,1,bacteria,3052091,Bacillus sp. DX3.1,3,3,3
185979,1,bacteria,3129297,Bacillus sp. FJAT-52991,1,1,1
185979,1,bacteria,2660750,Bacillus sp. A260,1,4,4
185979,1,bacteria,2874284,Bacillus sp. CRB-7,1,3,3
185979,1,bacteria,3117553,Bacillus sp. MT(2024),1,54,54
185979,1,bacteria,2975302,Bacillus sp. FSL R5-0443,1,4,4
185979,1,bacteria,2846779,Bacillus sp. NP247,1,1,1
185979,1,bacteria,2789208,Bacillus sp. N447-1,1,3,3
185979,1,bacteria,2499213,Bacillus sp. BD59S,1,1,1
185979,1,bacteria,3077323,Bacillus sp. SI2,1,2,2
1386,1,bacteria,2819290,Bacillus arachidis,2,2,2
1386,1,bacteria,1471,Bacillus methanolicus,1,1,1
2837530,1,bacteria,2954699,Siminovitchia sp. FSL W7-1587,1,1,1
1279,1,bacteria,1280,Staphylococcus aureus,154,639,639
